book,문단식별자,문장식별자,원문,번역문,marker,llm_judgment,marker_type,analysis_level
중용장구,24,85,是以로 君子旣常戒懼하고 而於此에 尤加謹焉하니 所以遏人欲於將萌하여 而不使其潛滋暗長於隱微之中하여 以至離道之遠也니라,681ee0d470421a31,니라,True,니라,Level2
당송팔대가문초소식3,86,313,多名言하니라,901e586e6b8b4e41,니라,False,니라,Level2
춘추좌씨전1,1044,3453,凡物不爲災면 不書니라,42976bd90d8fbfa0,니라,True,니라,Level2
논어집주,670,2407,恭而無禮則勞하고 愼而無禮則葸하고 勇而無禮則亂하고 直而無禮則絞니라,5e1bb4a4b6a96d36,니라,True,니라,Level2
당송팔대가문초한유3,286,1543,詹于時獨秀出하야 袞加敬愛하니 諸生皆推服하니라,0ff610a5b5b64285,니라,True,니라,Level2
당송팔대가문초증공1,485,2715,推其徒子思來請記하여 遂來하니라,bd8f65a04dcbc16f,니라,True,니라,Level2
당송팔대가문초소철2,179,1012,或曰 吳滅而晉亂은 此天命이요 非人事也어늘 而羊祜何罪焉고하니 吾應之曰 爲國當論人事니라,140bd06eda949807,니라,True,니라,Level2
당송팔대가문초소식4,16,64,左氏之論이 得其正矣니라,671978fa50045ba8,니라,True,니라,Level2
당송팔대가문초소철2,306,1655,相地而征하니 山林川澤이 各致其時하고 陵阜陸墐이 各均其宜하고 邑鄕縣屬이 各立其正하니 擧齊國之地 如畫一之可數니라,47eaf12cf5e07323,니라,True,니라,Level2
논어집주,1079,3546,夫子嘗曰 賜不幸言而中하니 是使賜多言也라하시니 聖人之不貴言也如是니라,c12b5516870cdc81,니라,True,니라,Level2
당송팔대가문초소철2,327,1793,自古其地에 多節俠死義者도 亦以此니 特存夫上之以詩書禮樂으로 相爲摩切者何如耳니라,3d9fa09b034e1704,니라,True,니라,Level2
당송팔대가문초소식3,25,88,七人者는 皆自有以致敗亡이니 非不殺之過也니라,3fa384c813d7b4fc,니라,True,니라,Level2
맹자집주,1673,5488,禹之治水는 水之道也니라,880a4b4d81bc08f9,니라,True,니라,Level2
당송팔대가문초한유3,33,190,徐城生公之父하니 曰洪이라 卒官涼之戶曹參軍하니라,179d2ef7fe6ecfb7,니라,True,니라,Level2
당송팔대가문초한유3,193,1096,左人曰 是所謂大還者니 今三矣라하니라,df3383b116024267,니라,False,니라,Level2
시경집전(하),2300,5124,至於王職有闕失하여도 亦維仲山甫獨能補之하니 蓋惟大人然後能格君心之非니 未有不能自擧其德하고 而能補君之闕者也니라,a7e5739e5df6535b,니라,True,니라,Level2
당송팔대가문초소철2,202,1160,帝亦疑之나 而崇行之愈力하고 蝗亦爲息이니라,6eb5d46cac2b78f2,니라,True,니라,Level2
당송팔대가문초소철2,305,1638,至於堯舜三代之君하여는 皆因其所闕而時補之니라,4bbf3670bdc0c2b2,니라,True,니라,Level2
맹자집주,849,3034,詩云 殷鑑不遠하여 在夏后之世라하니 此之謂也니라,039bdc7aa79d9d6e,니라,True,니라,Level2
서경집전(상),194,1386,冀州之土 豈皆白壤이리오마는 云然者는 土會之法이 從其多者論也니라,8a8e7394d419fffe,니라,False,니라,Level2
당송팔대가문초소순1,47,323,雖然이나 此特洵之所見耳요 天下之大則又可知矣니라,2a6a42da8c82063a,니라,False,니라,Level2
당송팔대가문초증공1,195,1155,繇漢以下變故之密을 蓋不可勝道也니라,7f9befac6b0be216,니라,False,니라,Level2
당송팔대가문초소철3,253,1384,予聞哭之失聲하고 恨其不用吾言이니라,66ed229efee6e48f,니라,True,니라,Level2
당송팔대가문초소철2,335,1834,是以로 中國之士는 常不得解甲而息也니라,9acb27f215d82993,니라,True,니라,Level2
자치통감강목6,1041,2311,宣이 居國數年에 薨하니라,0af575d49def9d0c,니라,True,니라,Level2
당송팔대가문초소순1,232,1503,故로 兵法曰 辭卑者면 進也요 辭彊者면 退也라하니라,dc0d3fae548bb032,니라,True,니라,Level2
서경집전(하),74,298,上言夫子勖哉하고 此言勖哉夫子者는 反覆成文하여 以致其丁寧勸勉之意니 下倣此하니라,fcdc500793023bc8,니라,True,니라,Level2
맹자집주,1043,3558,是以로 擴而充之면 則無所不知하고 無所不能하여 而極其大也니라,90f2a0430df99769,니라,True,니라,Level2
당송팔대가문초유종원1,220,1436,名之以其能이라 故謂之染溪라하니라,d6988e966a3ee91d,니라,True,니라,Level2
당송팔대가문초소철2,148,845,然이나 聖公乘王莽之敗하여 擁衆入關한대 君臣貪暴하여 不改盜賊之舊하니 敗亡之勢를 匹夫匹婦 皆知之矣니라,0fb2bf187f82ad94,니라,True,니라,Level2
자치통감강목8,411,605,歲給二千萬이면 足矣라하니라,35607cd43274111e,니라,True,니라,Level2
당송팔대가문초소철2,10,41,物之所以去人에 分裂四出而不可禁者는 物重而人輕也니라,2d5997d980211e44,니라,True,니라,Level2
당송팔대가문초소식5,106,353,古來로 豪儁(俊)所被橫口之汚衊者多어늘 長公이 此一番洗刷하니 絶是니라,917b61185dbd4cd1,니라,True,니라,Level2
서경집전(상),57,451,崇山은 南裔之山이니 在今澧州하니라,097a826beb6dd54c,니라,True,니라,Level2
맹자집주,1506,5071,今有場師舍其梧檟하고 養其樲棘하면 則爲賤場師焉이니라,3d2e498a3c52e8a9,니라,True,니라,Level2
논어집주,1178,3905,文猶質也며 質猶文也니 虎豹之鞹이 猶犬羊之鞹이니라,091cec483c72b53b,니라,True,니라,Level2
예기집설대전2,979,1413,方面之數는 各視生時重霤니라,48d86c8a7b9a592d,니라,True,니라,Level2
당송팔대가문초한유3,333,1879,職事修하고 人俗化하야 嘉禾生하고 白鵲集하며 蒼烏來巢하고 嘉瓜同蔕聯實하니라,e264aa7728c50b20,니라,True,니라,Level2
시경집전(하),1628,3626,伐崇事는 見皇矣篇하니라,c688c95416532398,니라,True,니라,Level2
당송팔대가문초소철2,314,1722,以今之時는 天子仁恕하고 士大夫好善하며 天下之風俗이 不至於朋黨亂正하여 誣罔君子也니라,4f950569902b7883,니라,True,니라,Level2
당송팔대가문초소식3,173,667,其道始於至粗而極於至精하야 充乎天地하고 放乎四海하야 而毫釐有所必計하야 至寬而不可犯하고 至密而可樂者에 此其中은 必有所守어늘 而後世或未之見也니라,77e43d5c8369db2e,니라,True,니라,Level2
자치통감강목3,719,1638,況將之於軍에 如臂之於指하니 其爲劉氏與不爲劉氏를 非惟不當問이라 亦不必問也니라,feb16472638ee6ea,니라,True,니라,Level2
논어집주,1703,5386,冉求爲季氏聚斂하여 尤用事라 故로 夫子獨責之시니라,30cb5ed7536e2861,니라,True,니라,Level2
당송팔대가문초왕안석2,23,91,將以爲天下法也라하니라,3da0a93d213ef7de,니라,True,니라,Level2
당송팔대가문초한유3,36,217,好樂後進하야 及門接引하고 皆有恩意하니라,d17f46fc6e1b48e5,니라,True,니라,Level2
논어집주,1268,4138,故로 以此告之시니라,2fbdbed5cb3e0db7,니라,True,니라,Level2
당송팔대가문초한유2,241,1140,非若此也니라,b225a2ada86062fe,니라,True,니라,Level2
주역전의(하),1607,4790,六三은 陰柔不中正하여 以居說極而與之爲應이라 故不能自主而其象如此하니라,0b236455d13aa544,니라,True,니라,Level2
당송팔대가문초소철2,41,228,然則雖衰周列國之彊家라도 猶有不及五十里者矣니라,1c7f3c8b8f0c9a83,니라,True,니라,Level2
당송팔대가문초소철1,302,1981,蘇氏兄弟의 論罷侯置守處는 竝祖柳宗元之論而附益之요 而子由此論은 却亦跌宕하니 可以補柳子之不足이니라,d21388fac21b48ef,니라,True,니라,Level2
당송팔대가문초소철2,364,1977,夫穀鄧之不書는 是楚之未通而不告也니라,169ef194da234854,니라,True,니라,Level2
당송팔대가문초한유2,314,1528,又降霽雲하니 雲未應하니라,1cee084778db3c5d,니라,False,니라,Level2
맹자집주,1735,5618,此章與上章은 蓋一時之言이니 所以發其末句未盡之意니라,6f8c8f7575e31d3f,니라,False,니라,Level2
주역전의(상),164,841,當中에 爲兩大刻호되 相距一尺하며 大刻之西에 爲三小刻호되 相距各五寸許하며 下施橫足하여 側立案上이니라,2721d92ca2f543d1,니라,False,니라,Level2
당송팔대가문초소철3,62,307,通篇이 如流風掣雲하니 擧子業中神解也니라,98e5104e7a8aa8c7,니라,True,니라,Level2
당송팔대가문초소철2,41,217,於是에 千乘之賦는 自一成十里而出車一乘이니라,c50b3c99a782b2a7,니라,False,니라,Level2
당송팔대가문초소식5,239,911,"天下曉然知天意與上合하야 庶幾復見至治之成하야 家給人足하고 刑措不用하야 如咸平, 景德間也하니라",083a0732db463156,니라,False,니라,Level2
당송팔대가문초한유1,349,1654,惠書 責以不能如信陵執轡者하니라,3fd43a1a96351e73,니라,False,니라,Level2
당송팔대가문초소철2,320,1757,雖後世之君이라도 猶得守其法度면 以爲無過니 惟無暴君이면 則天下可安이니라,d004a1d97fc1d3ff,니라,True,니라,Level2
시경집전(하),342,759,且其爲幽王詩도 亦未有所考也니라,3631f531470f9f19,니라,False,니라,Level2
자치통감강목8,2133,2959,帝曰 必無是니 但汝曹共妒之耳니라,4faa63889fd1928a,니라,True,니라,Level2
당송팔대가문초소철2,140,802,故로 度卒逐去하고 而异鏄皆相하니라,f4de73224d7299a7,니라,True,니라,Level2
주역전의(상),1692,5041,故其象占如此하니라,7d2b79b20244dc00,니라,True,니라,Level2
서경집전(상),309,1840,華山은 卽太華니 見導山하고 黑水는 見導水하니라,3473b1c5b0923cb7,니라,True,니라,Level2
주역전의(하),64,211,天地之道는 恒久而不已也니라,8a6361fa30e546f0,니라,True,니라,Level2
당송팔대가문초소철2,204,1179,其後崇璟旣歿하니 玄宗愈老愈輕蔑群臣이니라,ca77aa9dd908227d,니라,True,니라,Level2
당송팔대가문초한유3,331,1864,旣而私其人觀公之所爲以告한대 曰公無爲라하니 惟恭喜하야 知公之無害己也하고 委心焉하니라,835ac8786c46ee96,니라,True,니라,Level2
당송팔대가문초유종원2,78,326,今刺史馮公作大門以表其位하고 余遂周延四阿하여 環以廊廡하고 繢二大士之像하여 繒蓋幢幡하여 以成就之하니라,f150d4936e81bcd3,니라,True,니라,Level2
당송팔대가문초한유3,129,779,長慶元年에 改右散騎常侍라가 二年而爲(州)［尙］書左丞하니라,a08ad75f6f206f89,니라,True,니라,Level2
당송팔대가문초소철2,302,1623,惟其所欲爲而無所不可니 此所謂爲治之地也니라,d516eb3a69f29ae4,니라,True,니라,Level2
자치통감강목11,570,1932,若都護思負一意하고 君與公琰이 推心從事하면 否可復通이요 逝可復還也니라,c2b515dd7b5ee3ab,니라,True,니라,Level2
당송팔대가문초한유3,2,10,卽以其年營廟於京師崇化里하니라,349b90fdc723876c,니라,True,니라,Level2
주역전의(하),1079,3268,卦辭云 不喪匕鬯은 本謂誠敬之至하여 威懼不能使之自失이어늘 彖엔 以長子宜如是라하니 因承上文用長子之義하여 通解之하니라,815add43beaf32cc,니라,True,니라,Level2
논어집주,25,123,學者所當深戒也니라,beb57c2a2e0816fa,니라,True,니라,Level2
맹자집주,984,3409,盖權而得中이면 則不離於正矣니라,d4bc174c6422376f,니라,False,니라,Level2
자치통감강목9,1573,2281,群臣이 初無是言也니라,3191f9830baad636,니라,True,니라,Level2
시경집전(상),2223,5122,取妻如何오 匪媒不得이니라,a63d5cd696f0b563,니라,True,니라,Level2
주역전의(하),428,1280,曰在蹇而往則蹇也요 蹇終則變矣라 故上已有碩義하니라,da45a24263adcc60,니라,True,니라,Level2
자치통감강목8,10,14,而反游京師長者하여 用氣自行하여 多所陵折하니 其敗必也라하니라,06af6db8d9fa6e2d,니라,True,니라,Level2
당송팔대가문초한유3,167,986,留一歲하야 再奏自監察御史至殿中侍御史하니라,e76292940b1da6c5,니라,True,니라,Level2
서경집전(하),674,2611,成王卽政한대 奄與淮夷又叛이어늘 成王滅奄歸하여 作此篇하니라,fac9eb1a82ef10da,니라,True,니라,Level2
자치통감강목19,1881,2540,是故로 節士無所勸慕하고 庸人無所畏懾하며 進而擊賊이면 死交而賞賒하고 退而逃散이면 身全而無罪하니라,e22089a199c8caa8,니라,False,니라,Level2
당송팔대가문초증공1,94,603,使其方先人之病으로 得一意於左右하고 而醫藥之有與謀하니라,ebfcac50e2a6ccd7,니라,True,니라,Level2
시경집전(상),100,309,下章放此하니라,27c78e305d5b0892,니라,True,니라,Level2
당송팔대가문초왕안석1,431,1910,君姓은 吳氏니 家於山阯하야 豪傑之望으로 臨吾一州者 蓋五六世러니 而後에 處士君出焉하니라,ff23769916d2f151,니라,True,니라,Level2
예기집설대전2,889,1286,稱家之有亡(무)니라,a8a686aa9615c15d,니라,True,니라,Level2
춘추좌씨전5,283,1465,旣拜에 乃毁之하고 而爲里室하야 皆如其舊하고 則使宅人反之且［曰］諺曰 非宅是卜이라 唯鄰是卜이라하니라,67406df7f5bf6976,니라,False,니라,Level2
당송팔대가문초소순1,400,2535,不可以有亂急이요 亦不可以無亂弛니라,2faf097545d7a2b1,니라,True,니라,Level2
당송팔대가문초한유1,372,1732,未敢以此仰疑大君子니라,96930e4ab55f76df,니라,True,니라,Level2
자치통감강목9,6,7,"遂劾奏大將軍冀, 河南尹不疑無君之心十五事하니 京師震悚하니라",d5cbb8864fef4845,니라,True,니라,Level2
맹자집주,1556,5188,金本重而帶鉤小라 故로 輕하니 喩禮有輕於食色者요 羽本輕而一輿多라 故로 重하니 喩食色有重於禮者하니라,a6411cc1cb196fb7,니라,True,니라,Level2
당송팔대가문초유종원2,257,1490,然往來視之하고 覺無異能者하니라,36b5d3a6e3370da0,니라,True,니라,Level2
시경집전(하),1357,2928,是以로 富貴無常이라하시니 蓋傷微子之事周而痛殷之亡也시니라,90a399e593e014b8,니라,True,니라,Level2
자치통감강목20,84,140,卒以孝聞하니라,f7e3281b5fe45da2,니라,True,니라,Level2
맹자집주,1363,4677,以士之招로 招庶人이면 則不敢往이요 以不賢人之招로 招賢人이면 則不可往矣니라,817ab14a33ba7041,니라,True,니라,Level2
춘추좌씨전3,682,2062,故不可立하니라,fd869583b8cdfb91,니라,True,니라,Level2
당송팔대가문초한유3,35,201,其後爲大理丞太常博士라가 遷起居郞尙書司封吏部(二郞中)［員外郞］하니 能官擧其名하니라,791ff766e4480d0d,니라,False,니라,Level2
논어집주,1401,4521,仁者는 必有勇이어니와 勇者는 不必有仁이니라,0be89d9860d2097a,니라,True,니라,Level2
주역전의(상),128,641,蓋爻辭는 是說箇影象在那裏하여 无所不包니라,2ce5ca0b853a85a3,니라,True,니라,Level2
논어집주,1287,4189,故로 君子名之면 必可言也며 言之면 必可行也니 君子於其言에 無所苟而已矣니라,e691c44b2b7e839d,니라,True,니라,Level2
당송팔대가문초소순1,200,1243,一卽墨大夫도 易知也요 一阿大夫도 易知也하며 左右譽阿而毁卽墨者幾人도 易知也니라,4c70f9512d61e130,니라,True,니라,Level2
서경집전(하),170,660,曰咎徵은 曰狂에 恒雨若하며 曰僭에 恒暘이 若하며 曰豫에 恒燠이 若하며 曰急에 恒寒이 若하며 曰蒙에 恒風이 若이니라,0c38f4eb58e89133,니라,True,니라,Level2
당송팔대가문초한유3,266,1461,旣驚痛與其父訣하고 又輿致走道하니 撼頓하야 失食飮節하야 死于商南層峰驛이어늘 卽瘞道南山下하니라,a7beca62af8d1c50,니라,True,니라,Level2
예기집설대전2,144,187,喪冠不緌하니 蓋去飾也니라,5327f51db46eac71,니라,True,니라,Level2
중용장구,34,112,君子는 知其在我라 故로 能戒謹不睹하고 恐懼不聞하여 而無時不中이요 小人은 不知有此하니 則肆欲妄行而無所忌憚矣니라,4ebcbf6e6047e5be,니라,True,니라,Level2
맹자집주,1621,5362,乃孔子則欲以微罪行하사 不欲爲苟去하시니 君子之所爲를 衆人이 固不識也니라,826dad8c94d636cc,니라,True,니라,Level2
주역전의(하),682,2048,姤는 女壯이니 勿用取女니라,18447ecbe4483f63,니라,True,니라,Level2
맹자집주,1179,3959,是以不告也시니라,f17b46e8439f6a6e,니라,True,니라,Level2
자치통감강목10,465,680,君은 民之望也라 宜往撫之니라,81d3b10061059b88,니라,True,니라,Level2
당송팔대가문초소철1,286,1909,越韓過魏而攻人之國都면 燕趙拒之於前하고 而韓魏乘之於後하리니 此危道也니라,f38b331c86ef1007,니라,True,니라,Level2
자치통감강목13,447,1538,及永嘉之末에 何氏無遺種하니라,b4e7b454829d1385,니라,True,니라,Level2
주역전의(하),680,2040,使之變革이면 乃小人之道亡也니 道亡은 乃其凶也니라,c9495ff33029c5cf,니라,True,니라,Level2
당송팔대가문초소철2,112,627,雖使上有明天子하고 下有賢方伯이라도 里克之罪 猶可議也니라,0fa75fd9fc93441b,니라,True,니라,Level2
당송팔대가문초한유2,69,276,書日益多하고 官日益重하니라,6351a2392bc2b7bd,니라,True,니라,Level2
서경집전(상),313,1854,酈道元謂 宕渠縣에 有大穴하여 潛水入焉하니 通罡山下하여 西南潛出하여 南入于江이라하니라,23b8f13bea7bc0c9,니라,True,니라,Level2
당송팔대가문초구양수5,156,1098,贈中書令하니라,d74c5aae22fc4e0c,니라,True,니라,Level2
예기집설대전2,914,1321,讀賵을 曾子曰 非古也니 是再告也니라,e26ba030aa0078e0,니라,True,니라,Level2
시경집전(하),1261,2719,豈敢憚行이리오 畏不能趨니라,e5be417b485842bf,니라,True,니라,Level2
당송팔대가문초증공1,191,1109,以其故로 士附하여 鬪者盡力하고 諜者盡情하니라,8a1d6ba59ce6c8c2,니라,True,니라,Level2
당송팔대가문초왕안석2,83,391,不得已면 若唐之太宗이 庶乎其或可也니라,f9e16839bc0e1b17,니라,True,니라,Level2
대학장구,56,155,此通下三章至止於信하여 舊本에 誤在沒世不忘之下하니라,07421a999d7642e3,니라,True,니라,Level2
당송팔대가문초소철2,240,1361,世俗之說曰 舜囚堯不得其死하고 禹逐舜終於蒼梧之野하고 周公將簒成王이라가 二叔譏之하여 乃免於亂이라하니라,34183258b8f78bf6,니라,True,니라,Level2
시경집전(상),2530,5864,愚謂 此興之取義者는 似比而實興也니라,e2bc5c462e83a9b7,니라,False,니라,Level2
당송팔대가문초소식2,432,1830,吾以是知二秦之一律也로니 始皇幸而堅不幸耳니라,6b0e0d2606f93f77,니라,True,니라,Level2
자치통감강목1,757,2295,必以倦而歸也니라,1f9c15c4c0f7db80,니라,True,니라,Level2
자치통감강목11,177,662,故로 遂定爲太子하니라,d841b9cd98e165b1,니라,True,니라,Level2
자치통감강목11,676,2291,叡愈嚴憚之하니라,b97558ed3601411d,니라,False,니라,Level2
자치통감강목7,1137,1568,非光武면 不能遂子陵之高요 非子陵이면 不能成光武之大也니라,f111189bd38e07c6,니라,True,니라,Level2
맹자집주,1828,5817,故로 不以窮達而有異니라,13816c023e4eced5,니라,True,니라,Level2
당송팔대가문초소철3,142,764,本歐陽子本論來니 以生死二端으로 作波瀾이니라,df2d1d8b9b869eff,니라,False,니라,Level2
시경집전(하),2763,6115,說見前篇하니라,b93a42905f97c600,니라,True,니라,Level2
서경집전(상),797,3747,責命於天은 惟與天同德者라야 方可니라,be9ec537bfd576e7,니라,True,니라,Level2
당송팔대가문초한유3,4,26,思明復叛하니 尙書與兄承恩謀殺之라가 事發族夷하고 尙書獨走免하니라,f5e614acbb6832cc,니라,False,니라,Level2
당송팔대가문초소철2,103,565,昭帝尙幼하니 燕王蓋主有簒取之心하고 上官桀桑弘羊助之하니 此其禍急於曹爽이니라,24388ce830af7052,니라,False,니라,Level2
당송팔대가문초유종원2,152,699,今刊去謬惡亂雜者하고 取其似是者하며 又頗爲發其意하여 藏於家하니라,d51362fe1df13b4c,니라,False,니라,Level2
자치통감강목13,108,413,將軍傅祇謂曰 未有帝王始崩而臣下論功者也니라,c175d1d0e91305c7,니라,True,니라,Level2
당송팔대가문초소순1,225,1405,然이나 愚以爲弱在於政이요 不在於勢니 是謂以弱政으로 敗彊勢라하니라,3e0644262297c948,니라,False,니라,Level2
당송팔대가문초유종원1,179,1204,是僕私一身而負公道久矣요 非特負足下也니라,250b2f00a91442f3,니라,True,니라,Level2
당송팔대가문초소철3,279,1516,獨幸歲月之久면 世或哀而憐之하여 使得歸復田里리니 治先人之弊廬하여 爲環堵之室而居之然後에 追求顔氏之樂하고 懷思東軒하여 優游以忘其老니라,3b280d2eb1d5e54e,니라,False,니라,Level2
예기집설대전2,1367,1952,是日也에 以吉祭易喪祭니 明日에 祔于祖父니라,5c26ae558f6d9f01,니라,False,니라,Level2
자치통감강목11,68,257,君子愛人以德이니 不宜如此니라,a20cb315cef1d179,니라,True,니라,Level2
춘추좌씨전6,187,766,宣子謁諸鄭伯한대 子産弗與曰 非官府之守器也니 寡君不知니라,657d4d625b685c94,니라,False,니라,Level2
논어집주,428,1537,故로 以微事斷之하시니 所以敎人不可不謹也시니라,0b4b29d7652d7325,니라,True,니라,Level2
중용장구,248,688,故로 此五句는 大小相資하고 首尾相應하니 聖賢所示入德之方이 莫詳於此하니 學者宜盡心焉이니라,bbe4918b78acc262,니라,True,니라,Level2
맹자집주,1810,5787,必功覆斯民然後出이니 如伊呂之徒니라,8833b0de68b81b63,니라,True,니라,Level2
당송팔대가문초한유3,238,1324,曾伯祖奭은 爲唐宰相하야 與褚遂良韓瑗俱得罪武后하야 死高宗朝하니라,15d4bd4cde09318f,니라,True,니라,Level2
당송팔대가문초유종원1,4,13,從曾祖奭爲中書令이라가 得罪武后하고 死高宗時하니라,c28338f2d6ae461d,니라,True,니라,Level2
맹자집주,951,3307,古者에 易子而敎之하니라,97fd129a8df9ac45,니라,True,니라,Level2
서경집전(하),1107,4192,湯旣黜夏命하고 復歸于亳하사 作湯誥하니라,e8d212101910903b,니라,True,니라,Level2
자치통감강목3,125,297,平曰 諸將用兵이 有能過信者乎잇가 上曰 莫及也니라,aea08eb842a757ab,니라,True,니라,Level2
논어집주,2001,6219,雖灑掃應對하도 只看所以然如何니라,b2938afea9f0d222,니라,True,니라,Level2
당송팔대가문초한유3,214,1230,女子嫁浮梁尉崔叔寶하니라,ab9c5902076f8615,니라,False,니라,Level2
주역전의(하),928,2770,然上无正應하고 下比初六하여 功不上行이라 故其象如此하니라,b03c2de90486c3f2,니라,True,니라,Level2
자치통감강목7,1674,2317,芳이 留匈奴中이라가 病死하니라,57b4ae5f01b75e86,니라,False,니라,Level2
자치통감강목4,432,1048,所治는 卽上意所欲罪면 與監史深禍者하고 卽上意所欲釋이면 與監史輕平者하니 上이 由是說之하니라,6cafd084e7185994,니라,True,니라,Level2
당송팔대가문초소철2,305,1647,文武之法이 猶在나 而天下不免於亂이니 則幽厲之所以施之者不仁也니라,361b3522a1fdc2c4,니라,True,니라,Level2
자치통감강목19,77,110,魏主가 常歎曰 上馬能擊賊하고 下馬作露板은 惟傅脩期耳라하니라,db2c542495fe9da2,니라,True,니라,Level2
논어집주,1859,5775,士之品이 大槪有三하니 志於道德者는 功名이 不足以累其心이요 志於功名者는 富貴不足以累其心이요 志於富貴而已者는 則亦無所不至矣라하니 志於富貴는 卽孔子所謂鄙夫也니라,9719cd032c4d6ad6,니라,True,니라,Level2
맹자집주,1046,3566,故로 君子는 欲其自得之也니라,0166e212c6bad393,니라,True,니라,Level2
당송팔대가문초증공1,143,850,不去非懷祿也요 不死非畏死也요 辱於仕莽而就之非無恥也니라,9282c307544c1a73,니라,True,니라,Level2
논어집주,413,1467,故로 夫子特許其淸而不許其仁이시니라,44ca992ce229d66c,니라,True,니라,Level2
당송팔대가문초한유1,245,1210,自卽大位已來로 於今四年에 凡所施者가 無不得宜ᄅ새 勤儉之聲과 寬大之政을 幽閨婦女와 草野小人도 皆飽聞而厭道之하나니라,cacbe8d52766da09,니라,True,니라,Level2
서경집전(상),83,618,周之內史와 漢之尙書와 魏晉以來所謂中書門下者 皆此職也니라,90fa6017f6844f5d,니라,True,니라,Level2
예기집설대전2,1612,2300,啜菽飮水나 盡其歡을 斯之謂孝요 斂首足形하야 還(선)葬而無槨이나 稱其財를 斯之謂禮니라,90146a4ee34e9fec,니라,True,니라,Level2
자치통감강목7,1140,1572,故로 能駕馭人才하고 表正風俗하나니 反是道者는 難乎免於亂亡之禍矣니라,3b7c891f36b6940b,니라,True,니라,Level2
예기집설대전2,1262,1810,重은 主道也니 殷主는 綴重焉하고 周主는 重徹焉하니라,47de219da9b57aaf,니라,True,니라,Level2
춘추좌씨전1,288,1868,其例之所重은 舊史遺文일새 略不盡擧하니 非聖人所脩之要故也ㄹ새니라,3b91e21e69aa3d74,니라,True,니라,Level2
자치통감강목20,1214,1952,故相與討誅之하니 今復見推면 是效尤也니라,cad65b4d563a56a3,니라,True,니라,Level2
논어집주,1989,6176,君子有三變하니 望之儼然하고 卽之也溫하고 聽其言也厲니라,8c3513363d60a1cc,니라,True,니라,Level2
당송팔대가문초소철2,155,881,文武旣沒하고 周公成王之際에 殷之遺孽이 猶與管蔡間周之隙하여 曰 予復이라하고 反鄙我周邦이라하니라,e157611780bff9d5,니라,True,니라,Level2
당송팔대가문초증공1,182,1048,因別爲目錄一篇하여 使覽者 得詳焉하니라,31dea762d669c119,니라,True,니라,Level2
주역전의(상),1718,5117,无妄之藥은 不可試也니라,78b945c6e052ca59,니라,True,니라,Level2
주역전의(상),103,520,所以後來道家取之하여 與老子爲類하니 便是老子說話도 也不就事上說이니라,b998329a3299f5f5,니라,True,니라,Level2
